sid,uid,name,address,avg_rating,logo
s100000001,fbed2d84-0318-45ae-bf07-7b317166dced,into,"55451 Mark Expressway, New Sharon, CT 36082",4.0,https://www.lorempixel.com/196/955
s100000002,d28f1379-98f3-495c-9c3f-0f806ccdb36f,if,"3446 Sanchez Tunnel, Russoton, MD 30336",2.8,https://placekitten.com/170/273
s100000003,88c1c2f3-97c9-4e90-9441-1306ee2c8f23,different,"518 Jason Shore Apt. 624, Port Christophershire, OR 59980",1.3,https://placeimg.com/698/412/any
s100000004,1438fe15-2c3d-49e5-a919-6c3b93d6226b,pattern,"26677 Ann Isle, Lake Christyville, KS 56477",4.5,https://dummyimage.com/843x190
s100000005,eb50cb93-0e44-419d-bfa9-3b818d35bb98,food,"8667 Kathleen Road Apt. 673, West Peterland, IN 66765",1.4,https://dummyimage.com/198x887
s100000006,22ec8a2d-9923-4874-8dc4-5fe450d2b24b,good,"1464 Harris Valleys Apt. 616, Jeremymouth, WA 19820",2.9,https://www.lorempixel.com/159/660
s100000007,b736a819-3a2f-49d9-953d-d23e481f1188,on,"914 James Mountain, Feliciaside, OK 53830",2.8,https://placekitten.com/114/535
s100000008,edaecc9c-2a85-49f9-b9f0-012d4062431c,since,"7055 Chambers Streets, East Haileyburgh, NH 47143",2.6,https://www.lorempixel.com/214/170
s100000009,f4c75b7b-1a3f-4585-9f26-d0c2bfddd496,moment,"3937 Edward Estate, New Michael, OK 69335",3.0,https://www.lorempixel.com/563/658
s100000010,b2757d52-d9eb-45ba-afc2-0c37feda06d9,meet,"5923 Stephen Islands, South Jeremytown, VA 61186",1.7,https://dummyimage.com/800x166
